Interest,Work_Style,Strengths,Communication_Skills,Leadership_Skills,Teamwork_Skills,Decision_Making,Aptitude_Level,Field_of_Study,Years_of_Experience,Adaptability,Time_Management,Problem_Solving,Emotional_Intelligence,Stress_Tolerance,Learning_Style,Certifications_Count,Technical_Skill_Level,Career_Goals,Location_Preference,Willing_to_Relocate,Highest_Degree,GPA,Internship_Experience,Remote_Work_Experience,Risk_Tolerance,Introvert_Extrovert_Score,Creativity_Score,Courses_Completed,Work_Hour_Flexibility,Workplace_Preference,Salary_Expectation,LinkedIn_Portfolio,GitHub_Repos,Public_Speaking_Experience,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Predicted_Career_Field
Zoologist,Collaborative,Creative,low,high,high,medium,medium,Other,0,low,low,medium,medium,medium,Visual,1,low,Achieve success as a Zoologist.,flexible,yes,PhD,2.31,no,yes,medium,low,high,7,shifts,remote,88281,no,0,,low,medium,high,medium,high,Zoologist
Pharmacist,Flexible,Creative,medium,low,medium,low,high,Health Sciences,7,medium,medium,high,low,high,Visual,2,high,Achieve success as a Pharmacist.,flexible,no,diploma,2.56,no,no,medium,medium,medium,5,shifts,remote,87438,no,2,no,medium,medium,low,low,low,Pharmacist
Forensic Scientist,Independent,Analytical,high,medium,high,low,high,Science,5,low,low,high,low,medium,Reading/Writing,0,medium,Achieve success as a Forensic Scientist.,flexible,yes,diploma,3.32,no,no,high,low,low,6,freelance,hybrid,68699,no,5,yes,low,medium,low,low,high,Forensic Scientist
Pediatric Nurse,Flexible,Creative,low,low,high,high,high,Health Sciences,2,high,low,medium,medium,high,Kinesthetic,1,low,Achieve success as a Pediatric Nurse.,flexible,no,bachelor,2.71,no,no,low,high,high,3,freelance,onsite,76539,yes,0,no,low,low,low,high,low,Pediatric Nurse
Market Research Analyst,Flexible,Strategic,high,medium,medium,low,high,Finance/Accounting,8,high,low,high,medium,high,Kinesthetic,1,low,Achieve success as a Market Research Analyst.,flexible,yes,bachelor,2.65,yes,no,medium,high,low,8,shifts,hybrid,82522,yes,4,no,medium,high,high,high,high,Market Research Analyst
Game Developer,Independent,Analytical,high,low,high,medium,medium,Computer Science/IT,3,medium,medium,medium,low,low,Visual,5,high,Achieve success as a Game Developer.,urban,no,bachelor,3.77,yes,yes,low,high,low,3,shifts,onsite,99131,yes,7,yes,medium,medium,medium,high,low,Game Developer
Geologist,Independent,Strategic,low,low,low,low,medium,Science,10,medium,low,medium,high,medium,Kinesthetic,3,low,Achieve success as a Geologist.,flexible,yes,master,3.28,no,no,low,high,low,8,9to5,remote,83856,no,3,yes,high,high,medium,low,low,Geologist
Speech Therapist,Independent,Analytical,high,low,medium,low,high,Health Sciences,10,low,low,medium,medium,medium,Visual,1,low,Achieve success as a Speech Therapist.,rural,no,diploma,3.08,yes,no,high,medium,medium,9,shifts,remote,76186,yes,8,no,medium,low,high,high,medium,Speech Therapist
Data Analyst,Flexible,Creative,high,medium,high,high,medium,Finance/Accounting,1,high,high,medium,low,low,Kinesthetic,0,medium,Achieve success as a Data Analyst.,urban,no,master,3.82,yes,yes,high,low,medium,8,freelance,remote,88966,no,1,yes,medium,low,medium,low,high,Data Analyst
Civil Engineer,Collaborative,Creative,medium,medium,low,medium,low,Engineering,4,high,high,low,medium,low,Kinesthetic,5,high,Achieve success as a Civil Engineer.,rural,yes,diploma,3.78,no,no,low,medium,low,1,shifts,hybrid,79337,yes,10,no,high,high,high,high,high,Civil Engineer
Teacher,Collaborative,Analytical,low,high,high,high,medium,Education/Social Sciences,10,high,low,high,low,low,Auditory,5,high,Achieve success as a Teacher.,flexible,yes,diploma,4,yes,yes,low,low,low,0,9to5,hybrid,62638,yes,5,yes,low,high,medium,medium,high,Teacher
Genetic Counselor,Collaborative,Strategic,medium,high,high,high,medium,Education/Social Sciences,9,medium,low,low,low,medium,Reading/Writing,3,high,Achieve success as a Genetic Counselor.,urban,yes,master,2.03,yes,no,medium,high,low,2,shifts,onsite,66692,no,2,yes,low,low,medium,high,high,Genetic Counselor
Environmental Engineer,Flexible,Analytical,high,medium,high,high,medium,Engineering,4,high,low,medium,low,high,Auditory,0,high,Achieve success as a Environmental Engineer.,rural,yes,bachelor,2.98,yes,yes,low,medium,high,2,9to5,onsite,60519,yes,4,yes,medium,high,low,low,low,Environmental Engineer
Financial Planner,Collaborative,Analytical,low,medium,low,high,medium,Finance/Accounting,4,medium,low,high,high,low,Visual,3,high,Achieve success as a Financial Planner.,rural,no,diploma,3.69,no,yes,high,low,medium,9,9to5,onsite,69713,yes,5,yes,low,medium,medium,medium,high,Financial Planner
Forensic Scientist,Independent,Strategic,high,medium,medium,high,high,Science,1,medium,low,low,low,low,Reading/Writing,4,medium,Achieve success as a Forensic Scientist.,flexible,no,master,3.36,yes,yes,high,medium,medium,2,9to5,remote,80058,yes,1,no,high,medium,medium,medium,high,Forensic Scientist
Air Traffic Controller,Flexible,Analytical,high,high,medium,high,low,Aviation,10,low,medium,high,medium,low,Auditory,0,medium,Achieve success as a Air Traffic Controller.,urban,yes,diploma,2.4,yes,no,low,high,high,2,freelance,hybrid,76152,yes,4,yes,high,low,high,high,high,Air Traffic Controller
Fashion Stylist,Collaborative,Analytical,low,medium,low,high,low,Other,9,medium,high,medium,high,medium,Kinesthetic,3,high,Achieve success as a Fashion Stylist.,urban,yes,master,2.16,no,no,high,low,low,10,freelance,hybrid,66408,no,9,no,high,high,high,high,high,Fashion Stylist
Human Resources Manager,Collaborative,Creative,medium,high,medium,low,high,Other,10,high,medium,high,low,high,Visual,0,low,Achieve success as a Human Resources Manager.,flexible,no,PhD,2.92,no,no,low,high,medium,3,shifts,remote,82183,yes,8,,low,medium,low,medium,low,Human Resources Manager
Architect,Flexible,Creative,medium,high,high,high,medium,Engineering,1,low,high,low,high,medium,Visual,0,high,Achieve success as a Architect.,rural,yes,diploma,2.11,no,no,low,high,low,3,shifts,hybrid,60586,no,9,yes,low,high,medium,medium,low,Architect
Environmental Engineer,Collaborative,Strategic,medium,low,medium,low,high,Engineering,0,medium,low,low,medium,medium,Auditory,1,medium,Achieve success as a Environmental Engineer.,rural,no,diploma,3.58,no,no,medium,medium,high,3,freelance,remote,64092,no,1,no,high,high,medium,low,low,Environmental Engineer
Video Game Tester,Flexible,Creative,high,medium,medium,high,low,Other,1,high,high,low,medium,high,Visual,5,low,Achieve success as a Video Game Tester.,urban,no,master,3.26,yes,no,medium,high,medium,3,9to5,remote,89685,no,0,yes,low,low,high,high,low,Video Game Tester
Video Game Tester,Independent,Creative,low,high,low,low,medium,Other,2,medium,high,low,high,high,Reading/Writing,1,medium,Achieve success as a Video Game Tester.,rural,yes,master,3.06,no,yes,medium,medium,high,6,freelance,onsite,88920,no,0,yes,medium,medium,low,high,high,Video Game Tester
