Interest,Work_Style,Strengths,Communication_Skills,Leadership_Skills,Teamwork_Skills,Decision_Making,Aptitude_Level,Field_of_Study,Years_of_Experience,Adaptability,Time_Management,Problem_Solving,Emotional_Intelligence,Stress_Tolerance,Learning_Style,Certifications_Count,Technical_Skill_Level,Career_Goals,Location_Preference,Willing_to_Relocate,Highest_Degree,GPA,Industry_of_Experience,Internship_Experience,Remote_Work_Experience,Risk_Tolerance,Routine_vs_Dynamic_Work,Introvert_Extrovert_Score,Creativity_Score,Courses_Completed,Work_Hour_Flexibility,Workplace_Preference,Work_Life_Balance_Preference,Salary_Expectation,Value_Priority,LinkedIn_Portfolio,GitHub_Repos,Public_Speaking_Experience,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Predicted_Career_Field
Consulting,Independent,Strategic,Low,Medium,Medium,High,Medium,Accounting,20,Low,Medium,Low,High,Low,Reading/Writing,4,Low,Lawyer,Urban,Yes,Diploma,3.29,Construction,No,Yes,Low,Dynamic,High,Medium,1,9â€“5,Hybrid,Medium,60kâ€“100k,Recognition,Yes,1,Yes,Medium,Low,Low,Medium,Low,Design
Technology,Independent,Creative,Medium,Medium,High,High,Medium,Business Administration,11,Medium,Medium,Medium,Low,Medium,Auditory,3,High,Marketing,Flexible,No,PhD,3.62,Tech,No,Yes,High,Routine,High,High,0,9â€“5,Hybrid,High,<30k,Helping Others,No,20,No,Medium,Medium,Medium,Low,High,Social Media Manager
Consulting,Flexible,Analytical,High,Medium,Medium,Medium,Low,Fine Arts,15,Medium,Low,Low,Low,Low,Kinesthetic,3,High,Hospitality,Urban,No,Diploma,2.83,Construction,Yes,Yes,Low,Dynamic,High,High,4,Shifts,On-site,Medium,60kâ€“100k,Helping Others,No,4,Yes,Medium,Medium,Medium,High,High,Astronomer
Journalism,Flexible,Strategic,Medium,High,Medium,Medium,Medium,Medicine,10,Low,Medium,Medium,High,Medium,Visual,3,Low,Human Resources,Urban,No,Masters,2.74,Arts,No,Yes,Low,Dynamic,Medium,Medium,4,Shifts,Hybrid,Medium,30kâ€“60k,Recognition,Yes,5,No,Medium,High,High,High,Medium,Game Developer
Marketing,Collaborative,Analytical,Medium,Medium,Low,Medium,High,Journalism,6,High,Low,Medium,Medium,High,Visual,2,High,Hospitality,Rural,No,Bachelors,3.16,Retail,Yes,Yes,Medium,Routine,Medium,Low,9,9â€“5,Remote,High,60kâ€“100k,Helping Others,Yes,12,Yes,Medium,Medium,High,High,Low,Social Media Manager
Teaching,Collaborative,Strategic,High,Medium,Medium,Low,Medium,Finance,5,Medium,Low,Low,Low,Medium,Visual,0,Medium,Architecture,Flexible,No,Masters,2.8,Retail,No,No,Low,Routine,Low,High,7,9â€“5,Remote,Medium,30kâ€“60k,Innovation,No,3,No,High,Medium,Low,Medium,Medium,Clinical Psychologist
Lawyer,Collaborative,Analytical,High,Medium,Medium,Low,Low,Sociology,1,Medium,Low,Medium,Medium,Medium,Visual,1,Low,Technology,Flexible,Yes,Diploma,3.52,Law,No,No,High,Dynamic,Low,Low,5,Freelance,Hybrid,High,30kâ€“60k,Helping Others,Yes,9,Yes,Medium,Medium,Low,Medium,Medium,Financial Planner
Marketing,Independent,Analytical,Medium,Low,High,Medium,Medium,Biology,20,Medium,High,Low,Medium,Medium,Kinesthetic,3,Low,Sales,Urban,Yes,PhD,3.19,Tech,Yes,Yes,High,Dynamic,High,Medium,9,Freelance,Hybrid,High,30kâ€“60k,Security,No,3,No,Medium,Medium,Low,Medium,Medium,Marketing
Arts,Collaborative,Analytical,Low,Medium,High,Low,Medium,Philosophy,9,Medium,Low,Low,Medium,Low,Kinesthetic,1,Medium,Public Relations,Urban,No,Diploma,3.64,Education,No,Yes,Medium,Routine,Medium,Low,3,Freelance,Remote,Low,60kâ€“100k,Innovation,No,19,No,High,High,Low,Medium,High,Social Media Manager
Medical,Flexible,Analytical,High,Low,Low,Medium,Low,Information Technology,18,High,Medium,Low,High,Medium,Auditory,4,High,Medical,Flexible,Yes,Masters,2,Arts,Yes,No,Medium,Routine,Medium,High,3,Shifts,On-site,Low,>100k,Recognition,No,2,Yes,High,Low,Low,Medium,High,Financial Planner
Public Relations,Collaborative,Analytical,Low,Low,High,High,Medium,Environmental Science,18,Low,Medium,Medium,Medium,Medium,Visual,1,Medium,Public Relations,Flexible,No,Bachelors,3.27,Construction,Yes,Yes,Low,Dynamic,Medium,Low,1,Freelance,On-site,Medium,<30k,Innovation,No,15,Yes,Low,Low,Medium,Medium,High,Education
Medical,Collaborative,Practical,Medium,Medium,Medium,Low,Low,Engineering,1,Medium,High,High,Medium,Medium,Kinesthetic,3,Low,Lawyer,Rural,Yes,Masters,3.26,Tech,No,Yes,Medium,Routine,Medium,Low,10,Freelance,On-site,Low,60kâ€“100k,Recognition,Yes,2,Yes,Medium,Low,High,High,High,Journalism
Technology,Independent,Creative,High,Low,Low,Low,Medium,Psychology,8,High,Low,High,Low,Medium,Kinesthetic,3,Medium,Marketing,Rural,No,PhD,3.16,Finance,No,No,Low,Dynamic,Low,Medium,0,Shifts,Remote,High,>100k,Recognition,No,17,Yes,Medium,Medium,High,Low,High,Animator
Education,Independent,Practical,Medium,High,High,High,Medium,Chemistry,4,High,High,High,Medium,High,Kinesthetic,2,Medium,Sales,Flexible,No,Diploma,2.3,Education,No,Yes,Medium,Routine,Low,Low,7,Freelance,Remote,Low,60kâ€“100k,Innovation,No,1,No,Medium,Medium,Medium,Medium,Low,Event Planner
Lawyer,Collaborative,Analytical,Medium,Medium,Medium,Low,Medium,Law,12,Medium,High,Medium,High,Low,Visual,2,High,Engineering,Flexible,Yes,Masters,3,Retail,No,No,Medium,Dynamic,Medium,High,6,Freelance,Remote,Low,>100k,Recognition,Yes,2,Yes,High,Medium,High,Low,Medium,Biotechnologist
Doctor,Flexible,Analytical,High,Medium,High,Medium,Low,Medicine,8,Medium,High,Medium,Medium,Medium,Auditory,3,Medium,Hospitality,Flexible,Yes,Diploma,3.46,Arts,No,No,Low,Routine,Low,Medium,10,9â€“5,Remote,High,>100k,Security,No,20,Yes,Medium,Medium,Low,Low,Medium,Geologist
Engineering,Independent,Practical,Medium,High,Medium,High,Medium,Environmental Science,12,High,Low,Medium,High,Medium,Kinesthetic,2,High,Public Relations,Rural,No,PhD,3.28,Construction,No,Yes,High,Dynamic,High,Medium,9,Freelance,Hybrid,Low,>100k,Helping Others,Yes,15,No,High,Medium,High,Low,High,Architecture
Arts,Flexible,Analytical,Low,Low,Low,Low,Low,Philosophy,8,High,Medium,Low,High,Low,Reading/Writing,2,Medium,Architecture,Flexible,No,Bachelors,3.18,Education,No,No,Low,Routine,Medium,Medium,9,Shifts,Remote,High,<30k,Recognition,No,14,Yes,Low,Low,Medium,Low,High,Social Media Manager
Arts,Independent,Practical,Medium,Medium,Medium,Low,Medium,Engineering,17,High,Medium,Medium,Medium,Low,Auditory,2,High,Engineering,Flexible,No,Diploma,3.01,Finance,Yes,No,High,Routine,Medium,Low,8,Shifts,Hybrid,Medium,<30k,Innovation,Yes,11,Yes,High,Medium,Medium,Low,Medium,Therapist
Consulting,Independent,Strategic,Low,Low,High,Medium,Low,Graphic Design,7,Medium,Medium,High,High,Medium,Auditory,5,Low,Human Resources,Flexible,No,Masters,3.83,Tech,No,Yes,Low,Dynamic,Low,Low,2,Freelance,Hybrid,Low,>100k,Helping Others,No,16,No,Medium,Low,Medium,Low,Low,Geologist
Engineering,Collaborative,Practical,Medium,Medium,Medium,High,Low,Environmental Science,3,Low,Medium,Medium,Medium,Low,Reading/Writing,3,High,Teaching,Urban,No,Bachelors,3,Tech,Yes,No,Low,Dynamic,Low,Low,6,Shifts,On-site,High,>100k,Security,No,13,No,High,High,Low,Medium,Low,Social Media Manager
Lawyer,Collaborative,Practical,High,Medium,Low,High,Medium,Physics,8,High,High,High,Medium,Medium,Reading/Writing,2,High,Business,Urban,Yes,Diploma,2.87,Retail,No,Yes,Medium,Routine,Medium,Medium,4,9â€“5,On-site,Medium,60kâ€“100k,Recognition,Yes,11,No,Medium,High,High,Medium,Low,UX/UI Designer
Public Relations,Flexible,Analytical,High,Low,Low,Medium,Low,Engineering,20,Low,Medium,Medium,High,Low,Auditory,4,Medium,Education,Urban,No,PhD,3.42,Education,No,No,Low,Dynamic,Medium,High,2,Freelance,Hybrid,Medium,>100k,Security,No,8,No,Low,Medium,Low,Low,Medium,Consulting
Hospitality,Collaborative,Analytical,Medium,High,Medium,Low,Low,Architecture,0,Medium,Medium,Low,Low,Medium,Visual,4,High,Consulting,Flexible,Yes,Bachelors,2.88,Retail,No,No,Low,Routine,Medium,Low,4,Shifts,Remote,Medium,>100k,Helping Others,No,5,No,High,High,High,Medium,Low,Consulting
Design,Collaborative,Strategic,Low,High,Medium,Low,Medium,Civil Engineering,6,Medium,Low,High,Low,Medium,Visual,0,Low,Public Relations,Urban,No,Bachelors,3.48,Education,No,Yes,Medium,Routine,Medium,Medium,3,Freelance,Remote,Low,>100k,Recognition,No,8,Yes,Medium,High,Medium,High,High,Therapist
Lawyer,Collaborative,Creative,High,Medium,High,Medium,Medium,Hospitality Management,2,Low,Low,Low,Low,Medium,Kinesthetic,3,High,Journalism,Flexible,No,Bachelors,2.27,Healthcare,Yes,No,Low,Dynamic,High,Low,2,9â€“5,On-site,Low,>100k,Innovation,Yes,5,Yes,Medium,Medium,Low,High,High,Doctor
Medical,Independent,Analytical,High,Medium,Medium,High,Low,Information Technology,11,Low,Medium,Medium,Low,Medium,Visual,0,Medium,Consulting,Rural,No,Diploma,2.42,Retail,Yes,Yes,Medium,Routine,High,Low,8,Shifts,Hybrid,High,<30k,Security,No,4,Yes,Low,Medium,High,Low,Medium,Chef
Technology,Collaborative,Analytical,Medium,High,Medium,Medium,Low,Public Relations,20,Medium,High,Medium,Medium,Medium,Reading/Writing,4,High,Public Relations,Rural,No,PhD,2.1,Tech,No,No,High,Dynamic,Low,Medium,8,9â€“5,Remote,Low,>100k,Innovation,Yes,9,No,High,High,Medium,High,Low,Civil Engineer
